id,tissue
SRR10264709,kidney
SRR10264710,kidney
SRR10264711,kidney
SRR10264712,kidney
SRR10264713,kidney
SRR10264714,kidney
SRR10264723,skeletal muscle
SRR10264724,skeletal muscle
SRR10264725,skeletal muscle
SRR10264726,skeletal muscle
SRR10264727,skeletal muscle
SRR10264728,skeletal muscle
SRR10264729,skeletal muscle
SRR10264730,skeletal muscle
SRR10264739,small intestine
SRR10264740,small intestine
SRR10264741,small intestine
SRR10264742,small intestine
SRR10264743,small intestine
SRR10264744,small intestine
SRR10264745,small intestine
SRR10264746,small intestine
SRR10264759,colon
SRR10264760,colon
SRR10264761,colon
SRR10264762,colon
SRR10264763,colon
SRR10264764,colon
SRR10264765,colon
SRR10264766,colon
SRR10264841,prostate
SRR10264842,prostate
SRR10264843,prostate
SRR10264844,prostate
SRR10264845,prostate
SRR10264846,prostate
SRR10264847,prostate
SRR10264848,prostate
SRR10264861,bladder
SRR10264862,bladder
SRR10264863,bladder
SRR10264864,bladder
SRR10264865,bladder
SRR10264866,bladder
SRR10264867,bladder
SRR10264868,bladder
SRR10264877,cervix
SRR10264878,cervix
SRR10264879,cervix
SRR10264880,cervix
SRR10264881,cervix
SRR10264882,cervix
SRR10264883,cervix
SRR10264884,cervix
SRR10264885,cervix
SRR10264886,cervix
SRR10264887,cervix
SRR10264888,cervix
SRR10264889,cervix
SRR10264949,cervix
SRR10264950,cervix
SRR10264951,cervix
SRR10264960,adrenal
SRR10264961,adrenal
SRR10264962,adrenal
SRR10264963,adrenal
SRR10264964,adrenal
SRR10264965,adrenal
SRR10264966,adrenal
SRR10264967,adrenal
SRR10264968,adrenal
SRR10264969,adrenal
SRR10264970,adrenal
SRR10264971,adrenal
SRR10264972,adrenal
SRR10264973,adrenal
SRR10264974,adrenal
SRR10264975,adrenal
SRR10264984,stomach
SRR10264985,stomach
SRR10264986,stomach
SRR10264987,stomach
SRR10264988,stomach
SRR10264989,stomach
SRR10264990,stomach
SRR10264991,stomach
SRR10264992,stomach
SRR10264993,stomach
SRR10264994,stomach
SRR10264995,stomach
SRR10264996,stomach
SRR10264997,stomach
SRR10264998,stomach
SRR10264999,stomach
SRR10265069,brain cerebellum
SRR10265070,brain cerebellum
SRR10265071,brain cerebellum
SRR10265072,brain cerebellum
SRR10265073,brain cerebellum
SRR10265074,brain cerebellum
SRR10265075,brain cerebellum
SRR10265076,brain cerebellum
SRR10265085,brain stem
SRR10265086,brain stem
SRR10265087,brain stem
SRR10265088,brain stem
SRR10265089,brain stem
SRR10265090,brain stem
SRR10265091,brain stem
SRR10265092,brain stem
SRR10265101,brain frontal cortex
SRR10265102,brain frontal cortex
SRR10265103,brain frontal cortex
SRR10265104,brain frontal cortex
SRR10265105,brain frontal cortex
SRR10265106,brain frontal cortex
SRR10265107,brain frontal cortex
SRR10265108,brain frontal cortex
SRR10265117,brain striatum
SRR10265118,brain striatum
SRR10265119,brain striatum
SRR10265120,brain striatum
SRR10265121,brain striatum
SRR10265122,brain striatum
SRR10265123,brain striatum
SRR10265124,brain striatum
SRR10265125,brain striatum
SRR10265126,brain striatum
SRR10265127,brain striatum
SRR10265197,brain occipital cortex
SRR10265198,brain occipital cortex
SRR10265199,brain occipital cortex
SRR10265200,brain occipital cortex
SRR10265201,brain occipital cortex
SRR10265202,brain occipital cortex
SRR10265203,brain occipital cortex
SRR10265204,brain occipital cortex
SRR10265205,brain occipital cortex
SRR10265206,brain occipital cortex
SRR10265207,brain occipital cortex
SRR10265216,brain parietal cortex
SRR10265217,brain parietal cortex
SRR10265218,brain parietal cortex
SRR10265219,brain parietal cortex
SRR10265220,brain parietal cortex
SRR10265221,brain parietal cortex
SRR10265222,brain parietal cortex
SRR10265223,brain parietal cortex
SRR10265224,brain parietal cortex
SRR10265225,brain parietal cortex
SRR10265226,brain parietal cortex
SRR10265235,brain fetal
SRR10265236,brain fetal
SRR10265237,brain fetal
SRR10265238,brain fetal
SRR10265239,brain fetal
SRR10265240,brain fetal
SRR10265241,brain fetal
SRR10265242,brain fetal
